Names,A1,A2,A3,A4,A5,A6,A7,Sample,Group
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,0.103797177,0.440019164,0.014443045,0.208467808,1.00E-09,1.00E-09,0.233272804,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,1.00E-09,0.649318923,1.00E-09,1.00E-09,1.00E-09,0.350681072,1.00E-09,Chinese_CAN11.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN32.CanFam31.realigned.bam,Tibetan
C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,Iranwolf_SRR12009566.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam,0.071830609,1.00E-09,0.01422411,0.913945277,1.00E-09,1.00E-09,1.00E-09,Iranwolf_SRR12009567.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam,1.00E-09,1.00E-09,0.049331341,0.924805082,1.00E-09,1.00E-09,0.025863573,Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia
C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam,0.044481021,1.00E-09,4.02E-06,0.955514954,1.00E-09,1.00E-09,1.00E-09,S21_2743_SaudiArabia.CanFam31.bam,WestAsia
C_WestAsia_IranWolf.CanFam31.realigned.bam,0.008087987,0.014716824,0.086821925,0.885895039,1.00E-09,1.00E-09,0.004478223,IranWolf.CanFam31.realigned.bam,WestAsia
